idx,text,label,prediction,cleaned_prediction,sentiment_label
9840,offers an interesting bit of speculation ,1,neutral,neutral,neutral
9857,interesting matters of identity and heritage ,1,neutral,neutral,neutral
9879,musical number ,1,neutral,neutral,neutral
9882,old-fashioned storytelling ,1,neutral,neutral,neutral
9894,holds up in an era in which computer-generated images are the norm ,1,neutral,neutral,neutral
9904,the artificial structure ,0,neutral,neutral,neutral
9910,poignant and delicately ,1,neutral,neutral,neutral
9927,to use the word `` new '' in its title ,0,neutral,neutral,neutral
9943,steve martin ,1,neutral,neutral,neutral
9954,be a straightforward bio ,1,neutral,neutral,neutral
9970,pastel landscapes ,1,neutral,neutral,neutral
9979,a sudden lunch rush ,1,neutral,neutral,neutral
9992,why this project was undertaken ,0,neutral,neutral,neutral
9997,can get your money back ,0,neutral,neutral,neutral
